jumps_resolved_static,jumps_resolved_contextual,jumps_resolved_dynamic,jumps_unresolved_static,jumps_unresolved_contextual,jumps_unresolved_dynamic,uaa_no_target,uaa_unbounded,uaa_nonsound,term_stop,term_timeout,term_queue_full,term_max_depth,term_subsumed,term_invalid_opcode,term_stack_underflow,term_stack_overflow,term_stack_out_of_bound,term_op_error,uaa_total
884,0,0,0,0,5,0,0,5,489,0,0,0,264,126,0,0,0,0,5
159,0,4,0,0,5,0,0,5,139,0,0,0,24,5,0,0,0,0,5
1657,0,0,0,0,21,0,0,21,1033,0,0,0,355,254,0,0,0,0,21
516,0,18,0,0,0,0,0,0,352,0,0,0,141,26,0,0,0,0,0
195,0,0,0,0,0,0,0,0,186,0,0,0,7,0,0,0,0,0,0
630,0,2,0,4,4,0,0,8,443,0,0,0,39,54,0,0,0,1,8
941,0,0,0,0,6,0,0,6,674,0,0,0,152,69,0,0,0,0,6
383,0,0,0,0,0,0,0,0,313,0,0,0,26,37,0,0,0,0,0
956,0,1,0,0,18,0,0,18,656,0,0,0,237,68,0,0,0,0,18
1007,0,22,0,0,6,0,0,6,734,0,0,0,204,83,0,0,0,0,6
121,0,0,0,0,0,0,0,0,104,0,0,0,2,16,0,0,0,0,0
350,0,0,0,0,4,0,0,4,310,0,0,0,36,4,0,0,0,0,4
153,0,9,0,0,4,0,0,4,134,0,0,0,17,14,0,0,0,0,4
57,0,0,0,0,0,0,0,0,56,0,0,0,1,1,0,0,0,0,0
65,0,0,0,0,0,0,0,0,63,0,0,0,1,0,0,0,0,0,0
132,0,3,0,0,1,0,0,1,126,0,0,0,3,4,0,0,0,0,1
933,0,0,0,0,6,0,0,6,655,0,0,0,255,30,0,0,0,0,6
193,0,0,0,0,4,0,0,4,156,0,0,0,32,6,0,0,0,0,4
249,0,15,0,0,5,0,0,5,236,0,0,0,24,9,0,0,0,1,5
210,0,0,0,0,0,0,0,0,128,0,0,0,81,0,0,0,0,0,0
223,0,0,0,0,1,0,0,1,182,0,0,0,34,3,0,0,0,0,1
16,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0
187,0,11,0,0,4,0,0,4,190,0,0,0,7,4,0,0,0,0,4
417,0,0,0,0,11,0,0,11,346,0,0,0,64,8,0,0,0,0,11
145,0,0,0,0,4,0,0,4,118,0,0,0,23,6,0,0,0,0,4
900,0,0,0,0,1,0,0,1,631,0,0,0,221,23,0,0,0,0,1
290,0,13,0,0,2,0,0,2,258,0,0,0,30,15,0,0,0,1,2
21,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,38,0,0,0,18,0,0,0,0,0,0
840,0,0,0,0,2,0,0,2,596,0,0,0,208,11,0,0,0,0,2
1912,0,18,0,0,50,0,0,50,1284,0,0,0,492,172,0,0,0,0,50
410,0,2,0,0,11,0,0,11,367,0,0,0,22,12,0,0,0,0,11
476,0,12,0,0,4,0,0,4,401,0,0,0,67,16,0,0,0,0,4
279,0,0,0,0,1,0,0,1,243,0,0,0,30,1,0,0,0,0,1
