sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,unique_blocks,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,max_depth,orphan_nodes,is_invalid,invalid_percentage,block_count
Contract_0x50d9c8ad0cdd015e4027cf88783c0abf771dfd18.evm,ok,148604,3600,98.61,false,0,285,283,331,48,0.0041,2,14,1.16,1.16,120,21,1,74,0,true,s_0,285,285,17,0,false,0.00,0
Contract_0x50e55af101c777ba7a1d560a774a82ef002ced9f.evm,ok,125780,2480,98.39,false,0,95,86,106,13,0.0119,2,2,1.12,1.12,34,12,1,23,0,true,s_0,95,95,19,0,false,0.00,0
Contract_0x51e2a2885a6208948a4ce92dbc7cce619a65492d.evm,ok,145792,3250,98.46,false,0,201,154,239,40,0.0059,2,3,1.19,1.19,74,30,1,36,0,true,s_0,201,201,49,0,false,0.00,0
Contract_0x5211fEbe5d129DFA871e004C39652E8254A73ef8.evm,ok,101064,1390,97.84,false,0,18,18,18,2,0.0588,2,2,1.00,1.00,7,1,1,7,0,false,s_0,18,18,8,0,false,0.00,0
Contract_0x522a0c697b59ee59ce573e5ea9f292b1e4716d92.evm,ok,128756,2590,98.07,false,0,122,122,144,24,0.0098,2,3,1.18,1.18,47,20,1,25,0,true,s_0,122,122,18,0,false,0.00,0
Contract_0x5249668021d5cb23f86e08c110dea0cade535ddd.evm,ok,253600,13280,99.02,false,0,982,548,1289,309,0.0013,2,49,1.31,1.31,461,75,1,154,0,true,s_0,982,982,92,0,false,0.00,0
Contract_0x5323ab0fb78c20ed32ef1ed0a4b529942aa3e026.evm,ok,125236,2350,98.30,false,0,122,122,144,24,0.0098,2,3,1.18,1.18,47,20,1,25,0,true,s_0,122,122,18,0,false,0.00,0
Contract_0x5339CA2b8148C5803236D8592a98411c4Ae881f8.evm,ok,128244,2450,98.37,false,0,105,95,117,14,0.0107,2,6,1.11,1.11,34,7,1,22,0,true,s_0,105,105,30,0,false,0.00,0
Contract_0x533Da53d2cf270056B8427D1A5812FFe2cDCa2dB.evm,ok,111664,1700,99.41,false,0,46,46,50,6,0.0242,2,3,1.09,1.09,19,4,1,15,0,false,s_0,46,46,10,0,false,0.00,0
Contract_0x53d6b005c8196e59a56043ec92079a67f873255c.evm,ok,144484,2990,98.66,false,0,191,182,219,30,0.0060,2,9,1.15,1.15,71,14,1,43,0,true,s_0,191,191,26,0,false,0.00,0
Contract_0x53eb9bd36b2b72a9ecf76b948ecb763dfb120e33.evm,ok,119148,2050,99.02,false,0,68,68,75,9,0.0165,2,2,1.10,1.10,28,8,1,21,0,true,s_0,68,68,27,0,false,0.00,0
Contract_0x541d676940Fd68f2755c1585ec06a6f4857cf193.evm,ok,148832,3150,98.73,false,0,194,184,212,20,0.0057,2,4,1.09,1.09,73,14,1,55,0,true,s_0,194,194,25,0,false,0.00,0
Contract_0x5497c008cca91cf8c3e597c47397f4643f7be432.evm,ok,128136,2600,98.85,false,0,138,138,150,14,0.0079,2,7,1.09,1.09,61,7,1,49,0,true,s_0,138,138,18,0,false,0.00,0
Contract_0x54f56401204f1b6c1091fe181ee78f35f0f21f05.evm,ok,142744,3040,98.36,false,0,190,190,206,18,0.0057,2,4,1.08,1.08,74,12,1,58,0,true,s_0,190,190,26,0,false,0.00,0
