sample_id,status,max_ram_kb,exec_time_ms,avg_cpu_percent,failed_to_parse,exit_status,nodes,unique_blocks,edges,mccabe,density,max_out_degree,max_in_degree,avg_out_degree,avg_in_degree,branching_nodes,merge_nodes,entry_points,exit_points,islands,cycles,detected_entry,reachable_nodes,total_nodes,max_depth,orphan_nodes,is_invalid,invalid_percentage,block_count
Contract_0x14eba0b896047d61e0c745fddd1e3e07e82c5067.evm,ok,43688,60,83.33,false,0,833,833,1168,337,0.0017,5,82,1.40,1.40,405,108,1,76,0,true,block_0x0000,833,833,38,0,false,0.00,1400
Contract_0x1637d405f61a6c6aa54d0a28fab85b7ea9e81932.evm,ok,23248,30,33.33,false,0,426,426,482,58,0.0027,3,31,1.13,1.13,185,8,1,131,0,true,block_0x0000,426,426,31,0,false,0.00,838
Contract_0x16924ae9c2ac6cdbc9d6bb16fafcd38bed560936.evm,ok,23812,30,66.67,false,0,353,353,424,73,0.0034,4,20,1.20,1.20,146,48,1,86,0,true,block_0x0000,353,353,50,0,false,0.00,370
Contract_0x16cdd7dfaecd43409f72069bc46af309449f7403.evm,ok,16744,20,50.00,false,0,254,254,312,60,0.0049,5,24,1.23,1.23,112,29,1,63,0,true,block_0x0000,254,254,29,0,false,0.00,265
Contract_0x1713ed16004ec8ecea1d26fd66edba625f12e031.evm,ok,20304,20,50.00,false,0,279,279,359,82,0.0046,5,14,1.29,1.29,121,34,1,53,0,true,block_0x0000,279,279,18,0,false,0.00,473
Contract_0x179747c6812bf1dcd1b3486027595a98055da059.evm,ok,12932,10,100.00,false,0,83,83,99,18,0.0145,3,6,1.19,1.19,37,10,1,23,0,true,block_0x0000,83,83,20,0,false,0.00,82
Contract_0x17Bcf59D273f7C58735ed80Ea001a69f80DF92fc.evm,ok,16488,20,50.00,false,0,188,188,239,53,0.0068,5,8,1.27,1.27,81,33,1,33,0,true,block_0x0000,188,188,32,0,false,0.00,235
Contract_0x17c72d96a9071d58fb2fa02a174ac10e79ec6a54.evm,ok,15340,20,0.00,false,0,186,186,230,46,0.0067,4,8,1.24,1.24,77,22,1,39,0,true,block_0x0000,186,186,14,0,false,0.00,202
Contract_0x180e0cfb1b74de8f99cef66ddf68959187908f4f.evm,ok,19700,20,100.00,false,0,323,323,417,96,0.0040,4,44,1.29,1.29,137,36,1,59,0,true,block_0x0000,323,323,30,0,false,0.00,574
Contract_0x189cfa1e719ec7728d04e861a6cea077b5fad634.evm,ok,14564,10,0.00,false,0,214,214,256,44,0.0056,4,9,1.20,1.20,97,14,1,59,0,true,block_0x0000,214,214,29,0,false,0.00,226
